Parent,Name,Descriptions
C5,C52,Model Evaluation and Testing
C5,C53,Forecasting and Other Model Applications
C5,C59,Other
C,C6,Mathematical Methods and Programming
C6,C60,General
C6,C61,Optimization Techniques; Programming Models; Dynamic Analysis
C6,C62,Existence and Stability Conditions of Equilibrium
C6,C63,Computational Techniques
C6,C65,Miscellaneous Mathematical Tools
C6,C67,Input..Output Models
C6,C68,Computable General Equilibrium Models
C6,C69,Other
C,C7,Game Theory and Bargaining Theory
C7,C70,General
C7,C71,Cooperative Games
C7,C72,Noncooperative Games
C7,C73,Stochastic and Dynamic Games
C7,C78,Bargaining Theory; Matching Theory
C7,C79,Other
C,C8,Data Collection and Data Estimation Methodology; Computer Programs
C8,C80,General
C8,C81,Methodology for Collecting, Estimating, and Organizing Microeconomic Data
C8,C82,Methodology for Collecting, Estimating, and Organizing Macroeconomic Data
C8,C87,Econometric Software
C8,C88,Other Computer Software
C8,C89,Other
C,C9,Design of Experiments
C9,C90,General
C9,C91,Laboratory, Individual Behavior
C9,C92,Laboratory, Group Behavior
C9,C93,Field Experiments
C9,C99,Other
,D,Microeconomics
D,D0,General
D0,D00,General
D,D1,Household Behavior and Family Economics
D1,D10,General
D1,D11,Consumer Economics: Theory
D1,D12,Consumer Economics: Empirical Analysis
D1,D13,Household Production and Intrahousehold Allocation
D1,D14,Personal Finance
D1,D18,Consumer Protection
D1,D19,Other
D,D2,Production and Organizations
D2,D20,General
D2,D21,Firm Behavior
D2,D23,Organizational Behavior; Transaction Costs; Property Rights
D2,D24,Production; Capital and Total Factor Productivity; Capacity
D2,D29,Other
D,D3,Distribution
D3,D30,General
D3,D31,Personal Income, Wealth, and Their Distributions
D3,D33,Factor Income Distribution
D3,D39,Other
D,D4,Market Structure and Pricing
D4,D40,General
D4,D41,Perfect Competition
D4,D42,Monopoly
D4,D43,Oligopoly and Other Forms of Market Imperfection
D4,D44,Auctions
D4,D45,Rationing; Licensing
D4,D46,Value Theory
D4,D49,Other
D,D5,General Equilibrium and Disequilibrium
D5,D50,General
D5,D51,Exchange and Production Economies
D5,D52,Incomplete Markets
D5,D57,Input..Output Analysis
D5,D58,Computable and Other Applied General Equilibrium Models
D5,D59,Other
D,D6,Welfare Economics
D6,D60,General
D6,D61,Allocative Efficiency; Cost..Benefit Analysis
D6,D62,Externalities
D6,D63,Equity, Justice, Inequality, and Other Normative Criteria and Measurement
D6,D64,Altruism
D6,D69,Other
D,D7,Analysis of Collective Decision-Making
D7,D70,General
D7,D71,Social Choice; Clubs; Committees; Associations
D7,D72,Economic Models of Political Processes: Rent-Seeking, Elections, Legislatures, and Voting Behavior
D7,D73,Bureaucracy; Administrative Processes in Public Organizations; Corruption
D7,D74,Conflict; Conflict Resolution; Alliances
D7,D78,Positive Analysis of Policy-Making and Implementation
D7,D79,Other
D,D8,Information and Uncertainty
D8,D80,General
D8,D81,Criteria for Decision-Making under Risk and Uncertainty
D8,D82,Asymmetric and Private Information
D8,D83,Search; Learning; Information and Knowledge
D8,D84,Expectations; Speculations
D8,D85,Network Formation
D8,D89,Other
D,D9,Intertemporal Choice and Growth
D9,D90,General
D9,D91,Intertemporal Consumer Choice; Life Cycle Models and Saving
D9,D92,Intertemporal Firm Choice and Growth, Investment, or Financing
D9,D99,Other
,E,Macroeconomics and Monetary Economics
E,E0,General
E0,E00,General
E,E1,General Aggregative Models
E1,E10,General
E1,E11,Marxian; Sraffian; Institutional; Evolutionary
E1,E12,Keynes; Keynesian; Post-Keynesian
E1,E13,Neoclassical
E1,E17,Forecasting and Simulation
E1,E19,Other
E,E2,Consumption, Saving, Production, Employment, and Investment
E2,E20,General
E2,E21,Consumption; Saving
E2,E22,Capital; Investment (including Inventories); Capacity
E2,E23,Production
E2,E24,Employment; Unemployment; Wages
E2,E25,Aggregate Factor Income Distribution
E2,E26,Informal Economy; Underground Economy
E2,E27,Forecasting and Simulation
E2,E29,Other
E,E3,Prices, Business Fluctuations, and Cycles
E3,E30,General
E3,E31,Price Level; Inflation; Deflation
E3,E32,Business Fluctuations; Cycles
E3,E37,Forecasting and Simulation
E3,E39,Other
E,E4,Money and Interest Rates
E4,E40,General
E4,E41,Demand for Money
E4,E42,Monetary Systems; Standards; Regimes; Government and the Monetary System
E4,E43,Determination of Interest Rates; Term Structure of Interest Rates
E4,E44,Financial Markets and the Macroeconomy
E4,E47,Forecasting and Simulation
E4,E49,Other
E,E5,Monetary Policy, Central Banking, and the Supply of Money and Credit
E5,E50,General
E5,E51,Money Supply; Credit; Money Multipliers
E5,E52,Monetary Policy (Targets, Instruments, and Effects)
E5,E58,Central Banks and Their Policies
E5,E59,Other
E,E6,Macroeconomic Policy Formation, Macroeconomic Aspects of Public Finance, Macroeconomic Policy, and G
E6,E60,General
E6,E61,Policy Objectives; Policy Designs and Consistency; Policy Coordination
E6,E62,Fiscal Policy; Public Expenditures, Investment, and Finance; Taxation
E6,E63,Comparative or Joint Analysis of Fiscal and Monetary Policy; Stabilization
E6,E64,Incomes Policy; Price Policy
E6,E65,Studies of Particular Policy Episodes
E6,E66,General Outlook and Conditions
E6,E69,Other
,F,International Economics
F,F0,General
F0,F00,General
F0,F01,Global Outlook
F0,F02,International Economic Order; Economic Integration and Globalization: General
F,F1,Trade
F1,F10,General
F1,F11,Neoclassical Models of Trade
F1,F12,Models of Trade with Imperfect Competition and Scale Economies
F1,F13,Commercial Policy; Protection; Promotion; Trade Negotiations
F1,F14,Country and Industry Studies of Trade
F1,F15,Economic Integration
F1,F16,Trade and Labor Market Interactions
F1,F17,Trade Forecasting and Simulation
F1,F18,Trade and Environment
F1,F19,Other
F,F2,International Factor Movements and International Business
F2,F20,General
F2,F21,International Investment; Long-Term Capital Movements
F2,F22,International Migration
F2,F23,Multinational Firms; International Business
F2,F29,Other
F,F3,International Finance
F3,F30,General
F3,F31,Foreign Exchange
F3,F32,Current Account Adjustment; Short-Term Capital Movements
F3,F33,International Monetary Arrangements and Institutions
F3,F34,International Lending and Debt Problems
F3,F35,Foreign Aid
F3,F36,Financial Aspects of Economic Integration
F3,F37,International Finance Forecasting and Simulation
F3,F39,Other
F,F4,Macroeconomic Aspects of International Trade and Finance
F4,F40,General
F4,F41,Open Economy Macroeconomics
F4,F42,International Policy Coordination and Transmission
F4,F43,Economic Growth of Open Economies
F4,F47,Forecasting and Simulation
F4,F49,Other
,G,Financial Economics
G,G0,General
G0,G00,General
G,G1,General Financial Markets
G1,G10,General
G1,G11,Portfolio Choice
G1,G12,Asset Pricing
G1,G13,Contingent Pricing; Futures Pricing
G1,G14,Information and Market Efficiency; Event Studies
G1,G15,International Financial Markets
G1,G18,Government Policy and Regulation
G1,G19,Other
G,G2,Financial Institutions and Services
G2,G20,General
G2,G21,Banks; Other Depository Institutions; Mortgages
G2,G22,Insurance; Insurance Companies
G2,G23,Pension Funds; Other Private Financial Institutions
G2,G24,Investment Banking; Venture Capital; Brokerage
G2,G28,Government Policy and Regulation
G2,G29,Other
G,G3,Corporate Finance and Governance
G3,G30,General
G3,G31,Capital Budgeting; Investment Policy
G3,G32,Financing Policy; Capital and Ownership Structure
G3,G33,Bankruptcy; Liquidation
G3,G34,Mergers; Acquisitions; Restructuring; Corporate Governance
G3,G35,Payout Policy
G3,G38,Government Policy and Regulation
G3,G39,Other
,H,Public Economics
H,H0,General
H0,H00,General
H,H1,Structure and Scope of Government
H1,H10,General
H1,H11,Structure, Scope, and Performance of Government
H1,H19,Other
H,H2,Taxation, Subsidies, and Revenue
H2,H20,General
H2,H21,Efficiency; Optimal Taxation
H2,H22,Incidence
H2,H23,Externalities; Redistributive Effects; Environmental Taxes and Subsidies
H2,H24,Personal Income and Other Nonbusiness Taxes and Subsidies
H2,H25,Business Taxes and Subsidies
H2,H26,Tax Evasion
H2,H27,Other Sources of Revenue
H2,H29,Other
H,H3,Fiscal Policies and Behavior of Economic Agents
H3,H30,General
H3,H31,Household
H3,H32,Firm
H3,H39,Other
H,H4,Publicly Provided Goods
H4,H40,General
H4,H41,Public Goods
H4,H42,Publicly Provided Private Goods
H4,H43,Project Evaluation; Social Discount Rate
H4,H49,Other
H,H5,National Government Expenditures and Related Policies
H5,H50,General
H5,H51,Government Expenditures and Health
H5,H52,Government Expenditures and Education
H5,H53,Government Expenditures and Welfare Programs
H5,H54,Infrastructures; Other Public Investment and Capital Stock
H5,H55,Social Security and Public Pensions
H5,H56,National Security and War
H5,H57,Procurement
H5,H59,Other
H,H6,National Budget, Deficit, and Debt
H6,H60,General
H6,H61,Budget; Budget Systems
H6,H62,Deficit; Surplus
H6,H63,Debt; Debt Management
H6,H69,Other
H,H7,State and Local Government; Intergovernmental Relations
H7,H70,General
H7,H71,State and Local Taxation, Subsidies, and Revenue
H7,H72,State and Local Budget and Expenditures
H7,H73,Interjurisdictional Differentials and Their Effects
H7,H74,State and Local Borrowing
H7,H77,Intergovernmental Relations; Federalism
H7,H79,Other
H,H8,Miscellaneous Issues
H8,H80,General
H8,H81,Governmental Loans, Loan Guarantees, and Credits
H8,H82,Governmental Property
H8,H83,Public Administration
H8,H87,International Fiscal Issues
H8,H89,Other
I,Health, Education, and Welfare
I,I0,General
I0,I00,General
I,I1,Health
I1,I10,General
I1,I11,Analysis of Health Care Markets
I1,I12,Health Production: Nutrition, Mortality, Morbidity, Substance Abuse and Addiction, Disability, and E
I1,I18,Government Policy; Regulation; Public Health
I1,I19,Other
I,I2,Education
I2,I20,General
I2,I21,Analysis of Education
I2,I22,Educational Finance
I2,I28,Government Policy
I2,I29,Other
I,I3,Welfare and Poverty
I3,I30,General
I3,I31,General Welfare; Basic Needs; Living Standards; Quality of Life
I3,I32,Measurement and Analysis of Poverty
I3,I38,Government Policy; Provision and Effects of Welfare Programs
I3,I39,Other
,J,Labor and Demographic Economics
J,J0,General
J0,J00,General
J,J1,Demographic Economics
J1,J10,General
J1,J11,Demographic Trends and Forecasts
J1,J12,Marriage; Marital Dissolution; Family Structure
J1,J13,Fertility; Family Planning; Child Care; Children; Youth
J1,J14,Economics of the Elderly
J1,J15,Economics of Minorities and Races
J1,J16,Economics of Gender
J1,J17,Value of Life; Foregone Income
J1,J18,Public Policy
J1,J19,Other
J,J2,Time Allocation, Work Behavior, and Employment Determination and Creation
J2,J20,General
J2,J21,Labor Force and Employment, Size, and Structure
J2,J22,Time Allocation and Labor Supply
J2,J23,Employment Determination; Job Creation; Demand for Labor; Self- Employment
J2,J24,Human Capital; Skills; Occupational Choice; Labor Productivity
J2,J26,Retirement; Retirement Policies
J2,J28,Safety; Accidents; Industrial Health; Job Satisfaction; Related Public Policy
J2,J29,Other
J,J3,Wages, Compensation, and Labor Costs
J3,J30,General
J3,J31,Wage Level and Structure; Wage Differentials by Skill, Training, Occupation, etc.
J3,J32,Nonwage Labor Costs and Benefits; Private Pensions
J3,J33,Compensation Packages; Payment Methods
J3,J38,Public Policy
J3,J39,Other
J,J4,Particular Labor Markets
J4,J40,General
J4,J41,Contracts: Specific Human Capital, Matching Models, Efficiency Wage Models, and Internal Labor Marke
J4,J42,Monopsony; Segmented Labor Markets
J4,J43,Agricultural Labor Markets
J4,J44,Professional Labor Markets and Occupations
J4,J45,Public Sector Labor Markets
J4,J48,Public Policy
J4,J49,Other
J,J5,Labor..Management Relations, Trade Unions, and Collective Bargaining
J5,J50,General
J5,J51,Trade Unions: Objectives, Structure, and Effects
J5,J52,Dispute Resolution: Strikes, Arbitration, and Mediation
J5,J53,Labor..Management Relations; Industrial Jurisprudence
J5,J54,Producer Cooperatives; Labor Managed Firms
J5,J58,Public Policy
J5,J59,Other
J,J6,Mobility, Unemployment, and Vacancies
J6,J60,General
J6,J61,Geographic Labor Mobility; Immigrant Workers
J6,J62,Occupational and Intergenerational Mobility
J6,J63,Turnover; Vacancies; Layoffs
J6,J64,Unemployment: Models, Duration, Incidence, and Job Search
J6,J65,Unemployment Insurance; Severance Pay; Plant Closings
J6,J68,Public Policy
J6,J69,Other
J,J7,Discrimination
J7,J70,General
J7,J71,Discrimination
J7,J78,Public Policy
J7,J79,Other
J,J8,Labor Standards: National and International
J8,J80,General
J8,J81,Working Conditions
J8,J82,Labor Force Composition
J8,J83,Workers' Rights
J8,J88,Public Policy
J8,J89,Other
,K,Law and Economics
K,K0,General
K0,K00,General
K,K1,Basic Areas of Law
K1,K10,General
K1,K11,Property Law
K1,K12,Contract Law
K1,K13,Tort Law and Product Liability
K1,K14,Criminal Law
K1,K19,Other
K,K2,Regulation and Business Law
K2,K20,General
K2,K21,Antitrust Law
K2,K22,Corporation and Securities Law
K2,K23,Regulated Industries and Administrative Law
K2,K29,Other
K,K3,Other Substantive Areas of Law
K3,K30,General
K3,K31,Labor Law
K3,K32,Environmental, Health, and Safety Law
K3,K33,International Law
K3,K34,Tax Law
K3,K35,Personal Bankruptcy Law
K3,K39,Other
K,K4,Legal Procedure, the Legal System, and Illegal Behavior
K4,K40,General
K4,K41,Litigation Process
K4,K42,Illegal Behavior and the Enforcement of Law
K4,K49,Other
,L,Industrial Organization
L,L0,General
L0,L00,General
L,L1,Market Structure, Firm Strategy, and Market Performance
L1,L10,General
L1,L11,Production, Pricing, and Market Structure; Size Distribution of Firms
L1,L12,Monopoly; Monopolization Strategies
L1,L13,Oligopoly and Other Imperfect Markets
L1,L14,Transactional Relationships; Contracts and Reputation; Networks
L1,L15,Information and Product Quality; Standardization and Compatibility
L1,L16,Industrial Organization and Macroeconomics; Macroeconomic Industrial Structure; Industrial Price Ind
L1,L19,Other
L,L2,Firm Objectives, Organization, and Behavior
L2,L20,General
L2,L21,Business Objectives of the Firm
L2,L22,Firm Organization and Market Structure: Markets vs. Hierarchies; Vertical Integration
L2,L23,Organization of Production
L2,L24,Contracting Out; Joint Ventures
L2,L25,Firm Size and Performance
L2,L29,Other
L,L3,Nonprofit Organizations and Public Enterprise
L3,L30,General
L3,L31,Nonprofit Institutions
L3,L32,Public Enterprises
L3,L33,Comparison of Public and Private Enterprises; Privatization; Contracting Out
L3,L39,Other
L,L4,Antitrust Policy
L4,L40,General
L4,L41,Monopolization; Horizontal Anticompetitive Practices
L4,L42,Vertical Restraints; Resale Price Maintenance; Quantity Discounts
L4,L43,Legal Monopolies and Regulation or Deregulation
L4,L44,Antitrust Policy and Public Enterprise, Nonprofit Institutions, and Professional Organizations
L4,L49,Other
L,L5,Regulation and Industrial Policy
L5,L50,General
L5,L51,Economics of Regulation
L5,L52,Industrial Policy; Sectoral Planning Methods
L5,L59,Other
L,L6,Industry Studies: Manufacturing
L6,L60,General
L6,L61,Metals and Metal Products; Cement; Glass; Ceramics
L6,L62,Automobiles; Other Transportation Equipment
L6,L63,Microelectronics; Computers; Communications Equipment
L6,L64,Other Machinery; Business Equipment; Armaments
L6,L65,Chemicals; Rubber; Drugs; Biotechnology
L6,L66,Food; Beverages; Cosmetics; Tobacco
L6,L67,Other Consumer Nondurables: Clothing, Textiles, Shoes, and Leather
L6,L68,Appliances; Other Consumer Durables
L6,L69,Other
L,L7,Industry Studies: Primary Products and Construction
L7,L70,General
L7,L71,Mining, Extraction, and Refining: Hydrocarbon Fuels
L7,L72,Mining, Extraction, and Refining: Other Nonrenewable Resources
L7,L73,Forest Products: Lumber and Paper
L7,L74,Construction
L7,L78,Government Policy
L7,L79,Other
L,L8,Industry Studies: Services
L8,L80,General
L8,L81,Retail and Wholesale Trade; Warehousing
L8,L82,Entertainment; Media (Performing Arts, Visual Arts, Broadcasting, Publishing, etc.)
L8,L83,Sports; Gambling; Recreation; Tourism
L8,L84,Personal and Professional Services
L8,L85,Real Estate Services
L8,L86,Information and Internet Services; Computer Software
L8,L87,Postal and Delivery Services
L8,L88,Government Policy
L8,L89,Other
L,L9,Industry Studies: Transportation and Utilities
L9,L90,General
L9,L91,Transportation: General
L9,L92,Railroads and Other Surface Transportation: Autos, Buses, Trucks, and Water Carriers
L9,L93,Air Transportation
L9,L94,Electric Utilities
L9,L95,Gas Utilities; Pipelines; Water Utilities
L9,L96,Telecommunications
L9,L97,Utilities: General
L9,L98,Government Policy
L9,L99,Other
,M,Business Administration and Business Economics; Marketing; Accounting
M,M0,General
M0,M00,General
M,M1,Business Administration
M1,M10,General
M1,M11,Production Management
M1,M12,Personnel Management
M1,M13,Entrepreneurship
M1,M14,Corporate Culture; Social Responsibility
M1,M19,Other
M,M2,Business Economics
M2,M20,General
M2,M21,Business Economics
M2,M29,Other
M,M3,Marketing and Advertising
M3,M30,General
M3,M31,Marketing
M3,M37,Advertising
M3,M39,Other
M,M4,Accounting and Auditing
M4,M40,General
M4,M41,Accounting
M4,M42,Auditing
M4,M49,Other
M,M5,Personnel Economics
M5,M50,General
M5,M51,Firm Employment Decisions; Promotions (hiring, firing, turnover, part- time, temporary workers, senio
M5,M52,Compensation and Compensation Methods and Their Effects (stock options, fringe benefits, incentives,
M5,M53,Training
M5,M54,Labor Management (team formation, worker empowerment, job design, tasks and authority, job satisfact
M5,M55,Labor Contracting Devices: Outsourcing; Franchising; Other
M5,M59,Other
,N,Economic History
N,N0,General
N0,N00,General
N0,N01,Development of the Discipline: Historiographical; Sources and Methods
N,N1,Macroeconomics and Monetary Economics; Growth and Fluctuations
N1,N10,General, International, or Comparative
N1,N11,U.S.; Canada: Pre-1913
N1,N12,U.S.; Canada: 1913..
N1,N13,Europe: Pre-1913
N1,N14,Europe: 1913..
N1,N15,Asia including Middle East
N1,N16,Latin America; Caribbean
N1,N17,Africa; Oceania
N,N2,Financial Markets and Institutions
N2,N20,General, International, or Comparative
N2,N21,U.S.; Canada: Pre-1913
N2,N22,U.S.; Canada: 1913..
N2,N23,Europe: Pre-1913
N2,N24,Europe: 1913..
N2,N25,Asia including Middle East
N2,N26,Latin America; Caribbean
N2,N27,Africa; Oceania
N,N3,Labor and Consumers, Demography, Education, Income, and Wealth
N3,N30,General, International, or Comparative
N3,N31,U.S.; Canada: Pre-1913
N3,N32,U.S.; Canada: 1913..
N3,N33,Europe: Pre-1913
N3,N34,Europe: 1913..
N3,N35,Asia including Middle East
N3,N36,Latin America; Caribbean
N3,N37,Africa; Oceania
N,N4,Government, War, Law, and Regulation
N4,N40,General, International, or Comparative
N4,N41,U.S.; Canada: Pre-1913
N4,N42,U.S.; Canada: 1913..
N4,N43,Europe: Pre-1913
N4,N44,Europe: 1913..
N4,N45,Asia including Middle East
N4,N46,Latin America; Caribbean
N4,N47,Africa; Oceania
N,N5,Agriculture, Natural Resources, Environment, and Extractive Industries
N5,N50,General, International, or Comparative
N5,N51,U.S.; Canada: Pre-1913
N5,N52,U.S.; Canada: 1913..
N5,N53,Europe: Pre-1913
N5,N54,Europe: 1913..
N5,N55,Asia including Middle East
N5,N56,Latin America; Caribbean
N5,N57,Africa; Oceania
N,N6,Manufacturing and Construction
N6,N60,General, International, or Comparative
N6,N61,U.S.; Canada: Pre-1913
N6,N62,U.S.; Canada: 1913..
N6,N63,Europe: Pre-1913
N6,N64,Europe: 1913..
N6,N65,Asia including Middle East
N6,N66,Latin America; Caribbean
N6,N67,Africa; Oceania
N,N7,Transport, International and Domestic Trade, Energy, and Other Services
N7,N70,General, International, or Comparative
N7,N71,U.S.; Canada: Pre-1913
N7,N72,U.S.; Canada: 1913..
N7,N73,Europe: Pre-1913
N7,N74,Europe: 1913..
N7,N75,Asia including Middle East
N7,N76,Latin America; Caribbean
N7,N77,Africa; Oceania
N,N8,Micro-Business History
N8,N80,General, International, or Comparative
N8,N81,U.S.; Canada: Pre-1913
N8,N82,U.S.; Canada: 1913..
N8,N83,Europe: Pre-1913
N8,N84,Europe: 1913..
N8,N85,Asia including Middle East
N8,N86,Latin America; Caribbean
N8,N87,Africa; Oceania
N,N9,Regional and Urban History
N9,N90,General, International, or Comparative
N9,N91,U.S.; Canada: Pre-1913
N9,N92,U.S.; Canada: 1913..
N9,N93,Europe: Pre-1913
N9,N94,Europe: 1913..
N9,N95,Asia including Middle East
N9,N96,Latin America; Caribbean
N9,N97,Africa; Oceania
O,Economic Development, Technological Change, and Growth
O,O1,Economic Development
O1,O10,General
O1,O11,Macroeconomic Analyses of Economic Development
O1,O12,Microeconomic Analyses of Economic Development
O1,O13,Agriculture; Natural Resources; Energy; Environment; Other Primary Products
O1,O14,Industrialization; Manufacturing and Service Industries; Choice of Technology
O1,O15,Human Resources; Income Distribution; Migration
O1,O16,Financial Markets; Saving and Capital Investment
O1,O17,Formal and Informal Sectors; Shadow Economy; Institutional Arrangements
O1,O18,Regional, Urban, and Rural Analyses
O1,O19,International Linkages to Development; Role of International Organizations
O,O2,Development Planning and Policy
O2,O20,General
O2,O21,Planning Models; Planning Policy
O2,O22,Project Analysis
O2,O23,Fiscal and Monetary Policy in Development
O2,O24,Trade Policy; Factor Movement Policy; Foreign Exchange Policy
O2,O29,Other
O,O3,Technological Change; Research and Development
O3,O30,General
O3,O31,Innovation and Invention: Processes and Incentives
O3,O32,Management of Technological Innovation and R&D
O3,O33,Technological Change: Choices and Consequences; Diffusion Processes
O3,O34,Intellectual Property Rights: National and International Issues
O3,O38,Government Policy
O3,O39,Other
O,O4,Economic Growth and Aggregate Productivity
O4,O40,General
O4,O41,One, Two, and Multisector Growth Models
O4,O42,Monetary Growth Models
O4,O47,Measurement of Economic Growth; Aggregate Productivity
O4,O49,Other
O,O5,Economywide Country Studies
O5,O50,General
O5,O51,U.S.; Canada
O5,O52,Europe
O5,O53,Asia including Middle East
O5,O54,Latin America; Caribbean
O5,O55,Africa
O5,O56,Oceania
O5,O57,Comparative Studies of Countries
,P,Economic Systems
P,P0,General
P0,P00,General
P,P1,Capitalist Systems
P1,P10,General
P1,P11,Planning, Coordination, and Reform
P1,P12,Capitalist Enterprises
P1,P13,Cooperative Enterprises
P1,P14,Property Rights
P1,P16,Political Economy
P1,P17,Performance and Prospects
P1,P19,Other
P,P2,Socialist Systems and Transitional Economies
P2,P20,General
P2,P21,Planning, Coordination, and Reform
P2,P22,Prices
P2,P23,Factor and Product Markets; Industry Studies; Population
P2,P24,National Income, Product, and Expenditure; Money; Inflation
P2,P25,Urban, Rural, and Regional Economics; Housing; Transportation
P2,P26,Political Economy; Property Rights
P2,P27,Performance and Prospects
P2,P28,Natural Resources; Energy; Environment
P2,P29,Other
P,P3,Socialist Institutions and Their Transitions
P3,P30,General
P3,P31,Socialist Enterprises and Their Transitions
P3,P32,Collectives; Communes; Agriculture
P3,P33,International Trade, Finance, Investment, and Aid
P3,P34,Financial Economics
P3,P35,Public Economics
P3,P36,Consumer Economics; Health, Education, Welfare, and Poverty
P3,P37,Legal Institutions; Illegal Behavior
P3,P39,Other
P,P4,Other Economic Systems
P4,P40,General
P4,P41,Planning, Coordination, and Reform
P4,P42,Productive Enterprises; Factor and Product Markets; Prices; Population
P4,P43,Public Economics; Financial Economics
P4,P44,National Income, Product, and Expenditure; Money; Inflation
P4,P45,International Trade, Finance, Investment, and Aid
P4,P46,Consumer Economics; Welfare and Poverty
P4,P47,Performance and Prospects
P4,P48,Legal Institutions; Property Rights
P4,P49,Other
P,P5,Comparative Economic Systems
P5,P50,General
P5,P51,Comparative Analysis of Economic Systems
P5,P52,Comparative Studies of Particular Economies
P5,P59,Other
,Q,Agricultural and Natural Resource Economics
Q,Q0,General
Q0,Q00,General
Q0,Q01,Sustainable Development
Q,Q1,Agriculture
Q1,Q10,General
Q1,Q11,Aggregate Supply and Demand Analysis; Prices
Q1,Q12,Micro Analysis of Farm Firms, Farm Households, and Farm Input Markets
Q1,Q13,Agricultural Markets and Marketing; Cooperatives; Agribusiness
Q1,Q14,Agricultural Finance
Q1,Q15,Land Ownership and Tenure; Land Reform; Land Use; Irrigation
Q1,Q16,R&D; Agricultural Technology; Agricultural Extension Services
Q1,Q17,Agriculture in International Trade
Q1,Q18,Agricultural Policy; Food Policy
Q1,Q19,Other
Q,Q2,Renewable Resources and Conservation; Environmental Management
Q2,Q20,General
Q2,Q21,Demand and Supply
Q2,Q22,Fishery
Q2,Q23,Forestry
Q2,Q24,Land
Q2,Q25,Water
Q2,Q26,Recreational Aspects of Natural Resources
Q2,Q28,Government Policy
Q2,Q29,Other
Q,Q3,Nonrenewable Resources and Conservation
Q3,Q30,General
Q3,Q31,Demand and Supply
Q3,Q32,Exhaustible Resources and Economic Development
Q3,Q33,Resource Booms
Q3,Q38,Government Policy
Q3,Q39,Other
Q,Q4,Energy
Q4,Q40,General
Q4,Q41,Demand and Supply
Q4,Q42,Alternative Energy Sources
Q4,Q43,Energy and the Macroeconomy
Q4,Q48,Government Policy
Q4,Q49,Other
Q,Q5,Environmental Economics
Q5,Q50,General
Q5,Q51,Valuation of Environmental Effects
Q5,Q52,Pollution Control Costs; Distributional Effects
Q5,Q53,Air Pollution; Water Pollution; Noise; Hazardous Waste; Solid Waste
Q5,Q54,Climate; Natural Disasters
Q5,Q55,Technological Innovation
Q5,Q56,Environment and Development; Environment and Trade; Sustainability; Environmental Accounting
Q5,Q57,Ecological Economics: Ecosystem Services; Biodiversity Conservation; Bioeconomics
Q5,Q58,Government Policy
Q5,Q59,Other
R,Urban, Rural, and Regional Economics
R,R0,General
R0,R00,General
R,R1,General Regional Economics
R1,R10,General
R1,R11,Regional Economic Activity: Growth, Development, and Changes
